date,code,prt_stock,prt_rate_b,prt_cred_b,prt_conv_b
2019/12/31,000215.OF,0.142713556,0.110667877,0.684222269,0.000759497
2020/3/31,000215.OF,0.106247902,0.07787271,0.773250018,0.000427565
2020/6/30,000215.OF,0.141737948,0.061181598,0.775622253,0.002747388
2020/9/30,000215.OF,0.144011116,0.058613124,0.695553423,0.000238589
2020/12/31,000215.OF,0.128017788,0.064716449,0.781482831,0.000654815
2021/3/31,000215.OF,0.131320515,0.061930833,0.775528482,0.001641562
2021/6/30,000215.OF,0.128680039,0.063405313,0.780291548,0.000722771
2021/9/30,000215.OF,0.138236456,0.066341643,0.78014647,0
2021/12/31,000215.OF,0.160210972,0.070038338,0.75164229,0.001851859
2022/3/31,000215.OF,0.145980873,0.089703856,0.755096178,0
2022/6/30,000215.OF,0.171542549,0.084014149,0.730052319,0
2022/9/30,000215.OF,0.179741459,0.097809429,0.714729424,0.000330562
2022/12/31,000215.OF,0.1543606,0.167285366,0.668320536,0.007789026
2019/12/31,000227.OF,0,0,0.849678202,0.042302084
2020/3/31,000227.OF,0,0.061235151,0.565282202,0.264757443
2020/6/30,000227.OF,0,0,0.779943895,0.05904727
2020/9/30,000227.OF,0,0,0.888462615,0.039294572
2020/12/31,000227.OF,0,0,0.93585256,0.009016595
2021/3/31,000227.OF,0,0,0.929596,0.022338815
2021/6/30,000227.OF,0,0,0.912443785,0.013467852
2021/9/30,000227.OF,0,0,0.98204108,0.001664975
2021/12/31,000227.OF,0,0.141125336,0.821220717,0.018630586
2022/3/31,000227.OF,0,0,0.891468868,0.071838093
2022/6/30,000227.OF,0,0.168902435,0.584190636,0.235065498
2022/9/30,000227.OF,0,0.170037403,0.592400265,0.226113358
2022/12/31,000227.OF,0,0,0.603315811,0.367611008
2019/12/31,000236.OF,0.131489534,0.092741222,0.623959885,0.135823536
2020/3/31,000236.OF,0.114527578,0.144826288,0.622832327,0.095185318
2020/6/30,000236.OF,0.145464277,0.132006578,0.617515431,0.07849824
2020/9/30,000236.OF,0.148364525,0.069713988,0.693795829,0.049398355
2020/12/31,000236.OF,0.183269138,0.136033058,0.580900526,0.068120661
2021/3/31,000236.OF,0.138546877,0.111950049,0.63477716,0.096099939
2021/6/30,000236.OF,0.1506639,0.109579482,0.602847848,0.115452538
2021/9/30,000236.OF,0.150279694,0.148963685,0.430330176,0.251552315
2021/12/31,000236.OF,0.16940939,0.129458733,0.437309895,0.241820087
2022/3/31,000236.OF,0.157017298,0.135590911,0.448512006,0.24689867
2022/6/30,000236.OF,0.176475945,0.128283868,0.42624023,0.241629086
2022/9/30,000236.OF,0.154120388,0.142963958,0.392925687,0.294614735
2022/12/31,000236.OF,0.190803318,0.181525621,0.252375097,0.364232979
2019/12/31,000239.OF,0,0.145248537,0.563934526,0.09837492
2020/3/31,000239.OF,0,0,0.411100235,0.274719849
2020/6/30,000239.OF,0,0.384179955,0.499191785,0.053060298
2020/9/30,000239.OF,0,0,0.80568449,0.140621281
2020/12/31,000239.OF,0,0,0.802073612,0.171076565
2021/3/31,000239.OF,0,0,0.851282792,0.061463408
2021/6/30,000239.OF,0,0,0.765968256,0.085599585
2021/9/30,000239.OF,0,0,0.539504581,0.075055318
2021/12/31,000239.OF,0,0,0.575106368,0.043718209
2022/3/31,000239.OF,0,0.021400435,0.833407664,0.020122855
2022/6/30,000239.OF,0,0,0.753849673,0.036005139
2022/9/30,000239.OF,0,0.169984589,0.553263521,0.107092543
2022/12/31,000239.OF,0,0,0.860482655,0.090344372
2019/12/31,000244.OF,0,0.15055337,0.78945796,0.027224388
2020/3/31,000244.OF,0,0,0.95960912,0.02017596
2020/6/30,000244.OF,0,0.161113029,0.660880547,0.038461061
2020/9/30,000244.OF,0,0.062234545,0.771261721,0.11825407
2020/12/31,000244.OF,0,0.058398693,0.782927048,0.113634968
2021/3/31,000244.OF,0,0,0.880262504,0.060946298
2021/6/30,000244.OF,0,0.064740357,0.65023852,0.00972701
2021/9/30,000244.OF,0,0,0.804674864,0.117882738
2021/12/31,000244.OF,0,0.001300329,0.880521623,0.055691476
2022/3/31,000244.OF,0,0.005244796,0.775851205,0.153216438
2022/6/30,000244.OF,0,0,0.331631432,0.319901466
2022/9/30,000244.OF,0,0.007137364,0.327365619,0.553483467
2022/12/31,000244.OF,0,0.007270662,0.332612838,0.623276062
2019/12/31,000254.OF,0,0.723180237,5.25E-08,0.055894647
2020/3/31,000254.OF,0,0,0.920756912,0
2020/6/30,000254.OF,0,0.045851722,0.723862119,0.181855679
2020/9/30,000254.OF,0,0,0.927003105,0.000434868
2020/12/31,000254.OF,0,0.27134737,0.331502345,0.001537988
2021/3/31,000254.OF,0,0,0.824285584,0
2021/6/30,000254.OF,0,0,0.985051045,0.000219264
2021/9/30,000254.OF,0,0,0.982467334,0.000112851
2021/12/31,000254.OF,0,0,0.914090653,0
2022/3/31,000254.OF,0,0,0.701872797,0.129356756
2022/6/30,000254.OF,0,0,0.569679375,0.41852932
2022/9/30,000254.OF,0,0,0.286139069,0.69830368
2022/12/31,000254.OF,0,0,0.112757111,0.75477272
2019/12/31,000310.OF,0,0.095035858,0.42967577,0.272180538
2020/3/31,000310.OF,0,0.280790798,0.607667235,0.082914419
2020/6/30,000310.OF,0,0.17422493,0.679592495,0.118478565
2020/9/30,000310.OF,0,0.189936515,0.612652749,0.162083054
2020/12/31,000310.OF,0,0.487634817,0.340618605,0.135683193
2021/3/31,000310.OF,0,0.294246847,0.112973765,0.529456024
2021/6/30,000310.OF,0,0.54825985,0.028460541,0.397507515
2021/9/30,000310.OF,0,0.674066862,0.013888994,0.265648041
2021/12/31,000310.OF,0,0.584885912,0.002414846,0.230349159
2022/3/31,000310.OF,0,0.646987652,0.000895229,0.302426949
2022/6/30,000310.OF,0,0.594431979,0.000689175,0.374879684
2022/9/30,000310.OF,0,0.698945313,0.000630322,0.286081638
2022/12/31,000310.OF,0,0.666822357,0.000601387,0.306309547
2019/12/31,000314.OF,0.168855763,0.058979254,0.572255487,0.003465767
2020/3/31,000314.OF,0.172788677,0.054641871,0.6156133,0.006220354
2020/6/30,000314.OF,0.177679443,0.105682402,0.647982322,0.006652125
2020/9/30,000314.OF,0.160734711,0.098717146,0.666336897,0.007597858
2020/12/31,000314.OF,0.208466339,0.168798041,0.577956436,0.00777517
2021/3/31,000314.OF,0.221535645,0.219707856,0.471703078,0.008246048
2021/6/30,000314.OF,0.251045971,0.214928304,0.487497074,0.007959525
2021/9/30,000314.OF,0.198235207,0.255770655,0.442795591,0.007594185
2021/12/31,000314.OF,0.211612549,0.261984561,0.331684586,0.004402142
2022/3/31,000314.OF,0.393992271,0.208011947,0.373479623,0.001771484
2022/6/30,000314.OF,0.330665779,0.138995972,0.360006621,1.39E-05
2022/9/30,000314.OF,0.390357742,0.182781959,0.391511686,0.001731059
2022/12/31,000314.OF,0.368412666,0.132023788,0.410334121,0.001901353
2019/12/31,000338.OF,0.106552887,0.043167815,0.70235538,0.09312686
2020/3/31,000338.OF,0.116637535,0.147923465,0.684535338,0.019372634
2020/6/30,000338.OF,0.163772659,0.148740039,0.624433844,0.029197104
2020/9/30,000338.OF,0.110973778,0.1576895,0.670216579,0.027179217
2020/12/31,000338.OF,0.161153832,0.133537719,0.56393165,0.01908512
2021/3/31,000338.OF,0.137644978,0.133998389,0.692105963,0.009915012
2021/6/30,000338.OF,0.161148033,0.137213106,0.658010554,0.009980121
2021/9/30,000338.OF,0.12588027,0.1421139,0.668111662,0.019838754
2021/12/31,000338.OF,0.160685787,0.126673489,0.629493551,0.0424158
2022/3/31,000338.OF,0.164778309,0.099745631,0.677347527,0.037103314
2022/6/30,000338.OF,0.164708195,0.08302408,0.628839324,0.081969223
2022/9/30,000338.OF,0.135915117,0.08754669,0.664257977,0.088004751
2022/12/31,000338.OF,0.14040369,0.058219623,0.629159747,0.101623392
2019/12/31,000367.OF,0.267727795,0.487727122,0.223248296,0
2020/3/31,000367.OF,0.215670643,0.460843291,0.210911253,0.029625309
2020/6/30,000367.OF,0.283676472,0.240957546,0.390557737,0.059500418
2020/9/30,000367.OF,0.266849861,0.233046808,0.428906784,0.042417898
2020/12/31,000367.OF,0.18467474,0.183664756,0.564104304,0.0281779
2021/3/31,000367.OF,0.18609663,0.180384951,0.572975771,0.032692058
2021/6/30,000367.OF,0.200505142,0.1641189,0.585673187,0.030599301
2021/9/30,000367.OF,0.172322483,0.116581025,0.643408444,0.023462679
2021/12/31,000367.OF,0.185249939,0.050261607,0.721462774,0.026337523
2022/3/31,000367.OF,0.218604813,0.125605035,0.551696761,0.036649849
2022/6/30,000367.OF,0.17681345,0.178171635,0.47865427,0.087007561
2022/9/30,000367.OF,0.163110561,0.20405098,0.485193214,0.044573402
2022/12/31,000367.OF,0.184928722,0.21950716,0.497011299,0.046852512
2019/12/31,000377.OF,0.053095164,0.084182816,0.512287026,0.166834602
2020/3/31,000377.OF,0.128202896,0.063589337,0.530968273,0.192900658
2020/6/30,000377.OF,0.062532763,0.056385707,0.666160947,0.173638573
2020/9/30,000377.OF,0.112712536,0.038953619,0.636233664,0.113258305
2020/12/31,000377.OF,0.152500868,0,0.585656414,0.166317921
2021/3/31,000377.OF,0.089855766,0,0.657456217,0.097547445
2021/6/30,000377.OF,0.159786863,0,0.656653776,0.095561266
2021/9/30,000377.OF,0.055955563,0,0.622245312,0.236202793
2021/12/31,000377.OF,0.174674168,0,0.430763893,0.336534538
2022/3/31,000377.OF,0.156327667,0,0.426960564,0.362066307
2022/6/30,000377.OF,0.153176546,0.030082035,0.460882435,0.294684181
2022/9/30,000377.OF,0.127769699,0.030568686,0.558492479,0.236354408
2022/12/31,000377.OF,0.155177727,0.002832197,0.338625017,0.287309113
2019/12/31,000385.OF,0.117924871,0.067085485,0.702463008,0.040673981
