,R2,R3,R5,R6,R7,R8,,,,,,,,,
003109.OF,8.69,2.58,24.67,24.7,24.7,2.47,,,,,,,,,
003115.OF,9.9,4.26,26.55,26.55,26.56,4.54,,,,,,,,,
003117.OF,9.27,2.59,30.08,30.05,30.08,4.17,,,,,,,,,
003123.OF,24.79,9.51,39.78,39.66,39.7,9.59,,,,,,,,,
003133.OF,10.9,5.27,31.93,31.93,31.93,3.71,,,,,,,,,
003135.OF,8.64,2.82,31.7,31.7,31.7,3.08,,,,,,,,,
003142.OF,7.34,3.03,28.07,28.07,28.07,2.48,,,,,,,,,
003154.OF,15.7,5.41,25.69,25.67,25.67,3.98,,,,,,,,,
003161.OF,7.82,1.45,24.99,24.99,24.99,2.64,,,,,,,,,
003167.OF,8.74,4.62,26.92,26.91,26.92,3.1,,,,,,,,,
003176.OF,9.33,2.1,32.22,32.22,32.22,5.63,,,,,,,,,
003182.OF,9.46,5.07,33.01,33.01,33.01,4.75,,,,,,,,,
003186.OF,13.93,3.82,27.29,27.27,27.28,4.18,,,,,,,,,
003187.OF,12.96,4.11,21.44,21.44,21.45,5.09,,,,,,,,,
003218.OF,15.61,3.41,23.28,23.29,23.29,3.05,,,,,,,,,
003221.OF,20.1,9.33,26.2,26.2,26.2,9.24,,,,,,,,,
003234.OF,15.05,4.07,22.67,22.67,22.67,3.52,,,,,,,,,
003275.OF,10.09,1.57,33.98,33.97,33.98,1.54,,,,,,,,,
003282.OF,4.76,1.27,30.93,30.94,30.95,1.19,,,,,,,,,
003295.OF,6.55,2.36,26.15,26.15,26.16,1.77,,,,,,,,,
003301.OF,15.59,4.24,27.83,27.82,27.84,4.19,,,,,,,,,
003331.OF,9.67,6.37,21.24,21.21,21.24,5.46,,,,,,,,,
003336.OF,12.31,3.68,24.19,24.19,24.19,3.75,,,,,,,,,
003341.OF,20.05,8.41,27.97,27.97,27.97,8.26,,,,,,,,,
003343.OF,11.37,3.81,25.66,25.65,25.66,2.7,,,,,,,,,
003345.OF,16.07,6.04,28.05,28.04,28.06,4.68,,,,,,,,,
003360.OF,8.25,3.57,26.99,26.98,27.02,3.07,,,,,,,,,
003379.OF,6.31,2.88,30.53,30.53,30.55,2.32,,,,,,,,,
003432.OF,8.15,2.16,30.07,30.06,30.07,2.22,,,,,,,,,
003476.OF,10.54,3.8,25.25,25.25,25.25,2.55,,,,,,,,,
003484.OF,10.33,4.47,25.53,25.53,25.53,3.43,,,,,,,,,
003493.OF,4.83,2.12,31.66,31.66,31.66,1.77,,,,,,,,,
003495.OF,10.69,5.41,29.35,29.34,29.38,3.76,,,,,,,,,
003502.OF,12.7,4.42,27.69,27.69,27.71,7.53,,,,,,,,,
003504.OF,11.5,6.53,23.5,23.5,23.5,6.22,,,,,,,,,
003591.OF,7.9,3.12,30.18,30.18,30.18,2.85,,,,,,,,,
003603.OF,12.7,4.56,31.08,31.07,31.08,2.46,,,,,,,,,
003612.OF,11.44,6.15,26.05,26.03,26.05,4.77,,,,,,,,,
003626.OF,26.18,7.83,33.32,33.32,33.32,6.84,,,,,,,,,
003628.OF,10.72,4.89,29.93,29.91,29.92,4.04,,,,,,,,,
003637.OF,15.75,7.08,18.75,18.74,18.75,2.86,,,,,,,,,
003663.OF,14.15,4.12,25.4,25.4,25.4,3.93,,,,,,,,,
003680.OF,22.32,2.31,32.65,32.64,32.65,3.23,,,,,,,,,
003692.OF,7.15,2.66,30.46,30.37,30.38,3.61,,,,,,,,,
003704.OF,18.34,6.66,26.76,26.76,26.76,6.81,,,,,,,,,
003734.OF,17.08,6.93,29.14,29.11,29.1,7.15,,,,,,,,,
003754.OF,14.91,2.89,32.37,32.37,32.39,2.61,,,,,,,,,
003780.OF,14.93,8.67,25.44,25.44,25.44,8.28,,,,,,,,,
003799.OF,9.43,4.73,27.15,27.15,27.15,4.85,,,,,,,,,
003805.OF,5.46,3.69,28.16,28.16,28.16,3.7,,,,,,,,,
003813.OF,11.79,4.27,26.49,26.55,26.55,4.47,,,,,,,,,
003828.OF,15.76,5.73,32.82,32.83,32.93,3.08,,,,,,,,,
