,R1,R4,R9
210006.OF,10.25,10.24,10.26
210007.OF,9.06,9.06,8.98
210010.OF,9.8,9.8,9.78
213007.OF,12.31,12.3,12.31
217008.OF,6.31,6.31,6.33
217023.OF,6.6,6.6,6.6
217024.OF,5.38,5.38,5.4
233005.OF,4.39,4.39,4.39
233012.OF,5.56,5.56,5.56
240003.OF,4.09,4.09,4.08
240012.OF,8.66,8.67,9.01
253010.OF,9.19,9.2,8.59
253060.OF,8.05,8.05,8.04
270029.OF,4.13,4.12,4.13
310508.OF,6.99,6.98,6.97
320021.OF,7.43,7.43,7.51
340009.OF,4.14,4.14,4.15
350006.OF,15.69,15.69,15.75
360008.OF,9.32,9.32,9.32
371020.OF,10.06,10.05,10.06
372010.OF,9.61,9.61,9.6
380009.OF,5.74,5.74,5.74
395001.OF,11.0,11.0,10.97
395011.OF,8.62,8.61,8.59
400016.OF,5.23,5.23,5.18
400027.OF,4.68,4.67,4.74
410004.OF,3.34,3.34,3.37
420002.OF,5.95,5.96,5.97
420008.OF,14.48,14.48,14.48
420009.OF,4.97,4.97,5.0
450005.OF,3.98,3.98,4.02
450018.OF,7.55,7.55,7.55
470010.OF,7.93,7.93,7.87
470018.OF,4.68,4.67,4.7
470088.OF,3.93,3.93,3.96
485105.OF,2.89,2.89,2.96
485107.OF,6.34,6.34,6.37
485111.OF,6.12,6.12,6.14
501000.OF,9.15,9.16,9.22
501017.OF,5.29,5.29,5.13
501027.OF,6.09,6.09,6.07
501039.OF,12.77,12.77,12.89
501041.OF,15.71,15.71,15.7
501053.OF,8.27,8.27,8.26
519007.OF,7.16,7.16,7.22
519023.OF,13.49,13.49,13.49
519030.OF,5.2,5.2,5.18
519050.OF,5.28,5.28,5.33
519061.OF,11.49,11.49,11.43
519127.OF,6.54,6.54,6.57
519134.OF,7.83,7.83,7.93
519160.OF,6.2,6.2,6.2
519162.OF,13.84,13.84,13.91
519175.OF,6.36,6.36,6.28
519186.OF,6.95,6.96,7.0
519197.OF,8.52,8.51,8.52
519222.OF,5.36,5.36,5.39
519229.OF,4.63,4.62,4.78
519616.OF,6.24,6.24,6.28
519625.OF,7.27,7.27,7.27
519627.OF,7.0,7.0,7.05
519652.OF,10.21,10.21,10.2
519660.OF,10.4,10.4,10.41
519666.OF,11.35,11.35,11.35
519676.OF,6.58,6.58,6.58
519680.OF,3.04,3.04,3.07
519683.OF,9.97,9.96,9.98
519726.OF,10.16,10.16,10.17
519730.OF,7.92,7.92,8.01
519733.OF,12.76,12.75,13.01
519738.OF,3.86,3.87,3.87
519752.OF,4.16,4.16,4.24
519753.OF,6.98,6.98,6.97
519755.OF,4.4,4.41,4.45
519766.OF,5.87,5.87,5.88
519768.OF,3.79,3.71,3.79
