,R2,R3,R5,R6,R7,R8
003133.OF,11.27,5.23,30.64,30.64,30.64,3.71
003135.OF,8.65,3.09,29.82,29.81,29.82,3.08
003142.OF,7.18,3.02,30.11,30.11,30.11,2.48
003154.OF,14.69,5.56,24.7,24.7,24.7,3.98
003161.OF,7.78,1.49,25.73,25.73,25.74,2.64
003167.OF,8.61,4.58,27.89,27.87,27.89,3.1
003176.OF,9.95,2.16,32.66,32.66,32.66,5.63
003182.OF,9,5.1,32.75,32.75,32.75,4.75
003186.OF,14,4.01,26.63,26.62,26.63,4.18
003187.OF,13.26,4.45,21.56,21.37,21.5,5.09
003218.OF,17.08,3.12,22.52,22.53,22.53,3.05
003221.OF,20.09,9.01,26.15,26.15,26.15,9.24
003234.OF,15.03,4.1,22.94,22.94,22.94,3.52
003275.OF,10.03,1.57,34.28,34.28,34.28,1.54
003282.OF,4.73,1.49,31.46,31.46,31.46,1.19
003295.OF,6.46,2.37,26.28,26.28,26.29,1.77
003301.OF,15.48,4.18,26.26,26.25,26.26,4.19
003331.OF,9.9,6.52,21.28,21.22,21.25,5.46
003336.OF,13.28,3.79,22.72,22.7,22.7,3.75
003341.OF,19.44,7.81,27.24,27.24,27.25,8.26
003343.OF,10.51,3.6,25.74,25.73,25.74,2.7
003345.OF,17.11,6.02,28,27.97,28.01,4.68
003360.OF,8.45,3.55,27.8,27.78,27.8,3.07
003379.OF,6.31,2.98,30.33,30.32,30.33,2.32
003432.OF,8.63,2.16,29.82,29.81,29.82,2.22
003476.OF,11.23,3.81,25.18,25.17,25.18,2.55
003484.OF,10.42,4.2,25.4,25.4,25.4,3.43
003493.OF,4.96,2,31.39,31.41,31.41,1.77
003495.OF,10.8,5.54,28.94,28.93,28.94,3.76
003502.OF,13.07,4.41,27.94,27.94,27.97,7.53
003504.OF,12.59,5.54,23.37,23.37,23.37,6.22
003591.OF,7.91,3.04,29.91,29.9,29.93,2.85
003603.OF,13.07,4.51,31.6,31.6,31.6,2.46
003612.OF,10.97,5.86,25.9,25.89,25.92,4.77
003626.OF,26.06,7.73,33.24,33.23,33.23,6.84
003628.OF,13.83,4.77,30.39,30.36,30.35,4.04
003637.OF,15.84,7.12,19.37,19.38,19.37,2.86
003663.OF,14.11,4.03,25.11,25.12,25.13,3.93
003680.OF,23.71,2.33,31.92,31.91,31.92,3.23
003692.OF,7.36,2.76,30.15,30.15,30.15,3.61
003704.OF,18.04,6.6,26.95,26.95,26.95,6.81
003734.OF,18.65,6.76,28.88,28.69,28.7,7.15
003754.OF,15.72,2.89,31.93,31.93,31.93,2.61
003780.OF,14.8,8.69,27.45,27.45,27.45,8.28
003799.OF,9.45,4.79,27.22,27.22,27.22,4.85
003805.OF,5.24,3.69,28.82,28.85,28.89,3.7
003813.OF,11.98,4.16,26.46,26.48,26.47,4.47
003828.OF,16.45,5.72,32.62,32.59,32.6,3.08
003839.OF,11.53,5.19,31.16,31.16,31.16,3.12
003842.OF,9.09,2.87,31.93,31.93,31.93,2.98
003848.OF,8.04,1.47,28.45,28.45,28.45,1.81
003850.OF,11.48,4.82,27.44,27.43,27.43,4.23
003854.OF,12.79,4.76,27.27,27.26,27.26,5.91
003861.OF,6.34,2.51,33.67,33.67,33.67,1.85
003877.OF,12.48,7.59,29.06,29.06,29.06,7.22
003882.OF,8.67,4.39,31.3,31.3,31.3,2.91
003900.OF,6.92,4.24,33.82,33.81,33.88,4.74
003950.OF,9.58,4.05,25.01,25.01,25.01,4.84
003966.OF,11.49,4.76,30.1,30.1,30.1,4.81
004005.OF,18.7,10.67,28.14,28.13,28.15,10.02
004010.OF,13.85,3.04,27.17,27.17,27.17,3.31
004024.OF,11.28,3.79,18.27,18.24,18.27,4.19
004025.OF,16.51,5.31,28.24,28.22,28.24,3.66
004081.OF,27.1,8.21,36.35,36.35,36.35,10.26
004083.OF,8.87,4.16,24.12,24.12,24.12,4.31
004093.OF,17.6,3.77,24.79,24.79,24.8,5.69
004100.OF,8.04,4.15,31.56,31.56,31.56,2.99
004129.OF,13.56,3.9,22.8,22.8,22.8,3.29
004131.OF,21.72,6.6,26.26,26.25,26.25,6.19
004149.OF,8.08,2.42,23.92,23.92,23.92,3.22
004153.OF,6.15,3.56,26.29,26.29,26.29,3.24
004157.OF,9.95,1.37,30.2,30.22,30.26,4.15
004175.OF,9.63,4.56,26.31,26.3,26.3,5.47
004202.OF,19.23,2.72,28.23,28.23,28.23,2.36
004206.OF,18.49,7.63,34.58,34.58,34.58,5.98
004218.OF,24.03,4.35,28.62,28.61,28.62,4.8
